Symbol,Stock Name,Yahoo Ticker,Exchange,Currency,Quantity,Average Price,Added At,Updated At
360ONE,360 ONE WAM LIMITED,360ONE.NS,NSI,INR,1.0,1192.0,2026-08-06T03:40:02,2026-08-13T03:50:47
3MINDIA,3M India Limited,3MINDIA.NS,NSI,INR,1.0,,2026-08-17T03:36:34,2026-08-17T03:36:34
AARTIIND,Aarti Industries Limited,AARTIIND.NS,NSI,INR,1.0,466.5499878,2026-06-24T14:58:50,2026-08-13T03:50:47
ABB,ABB India Limited,ABB.NS,NSI,INR,1.0,6967.5,2026-06-24T14:59:50,2026-08-13T03:50:47
ABBOTINDIA,Abbott India Limited,ABBOTINDIA.NS,NSI,INR,1.0,,2026-08-17T03:35:05,2026-08-17T03:35:05
ABCAPITAL,Aditya Birla Capital Limited,ABCAPITAL.NS,NSI,INR,1.0,394.7999878,2026-06-24T15:00:44,2026-08-13T03:50:47
ABGSEC,Aditya Birla Sun Life CRISIL Broad Based Gilt ETF,ABGSEC.NS,NSI,INR,1.0,114.0999985,2026-06-26T04:05:04,2026-08-13T03:50:47
ABSL10BANK,BSE Top 10 Banks Index,ABSL10BANK.NS,NSI,INR,1.0,172.0,2026-06-26T04:05:04,2026-08-13T03:50:47
ABSLAMC,Aditya Birla Sun Life AMC Limited,ABSLAMC.NS,NSI,INR,1.0,1195.199951,2026-06-24T14:47:17,2026-08-13T03:50:47
ABSLBANETF,NiftyBank,ABSLBANETF.NS,NSI,INR,1.0,59.61000061,2026-06-26T04:05:04,2026-08-13T03:50:47
ABSLLIQUID,AdityaBirlaSunLifeCRISILOvernightFundAIIndexETF,ABSLLIQUID.NS,NSI,INR,1.0,1000.0,2026-06-26T04:05:04,2026-08-13T03:50:47
ABSLMSCIN,MSCI India Index,ABSLMSCIN.NS,NSI,INR,1.0,29.28000069,2026-06-26T04:05:04,2026-08-13T03:50:47
ABSLNN50ET,NiftyNext50,ABSLNN50ET.NS,NSI,INR,1.0,75.54000092,2026-06-26T04:05:04,2026-08-13T03:50:47
ABSLPSE,AdityaBirlaSunLifeNiftyPSEETF,ABSLPSE.NS,NSI,INR,1.0,10.43999958,2026-06-26T04:05:04,2026-08-13T03:50:47
ACE,Action Construction Equipment Limited,ACE.NS,NSI,INR,1.0,1003.349976,2026-06-24T15:00:44,2026-08-13T03:50:47
ACUTAAS,Acutaas Chemicals Limited,ACUTAAS.NS,NSI,INR,10.0,3241.02,2026-06-24T14:58:50,2026-08-13T03:50:47
ADANIENSOL,Adani Energy Solutions Limited,ADANIENSOL.NS,NSI,INR,1.0,1495.900024,2026-06-24T15:00:44,2026-08-13T03:50:47
ADANIENT,Adani Enterprises Limited,ADANIENT.NS,NSI,INR,1.0,3021.0,2026-07-01T03:59:52,2026-08-13T03:50:47
ADANIGREEN,Adani Green Energy Limited,ADANIGREEN.NS,NSI,INR,1.0,1525.400024,2026-06-24T15:00:44,2026-08-13T03:50:47
ADANIPORTS,Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS,NSI,INR,1.0,1813.300049,2026-06-24T14:59:50,2026-08-13T03:50:47
ADANIPOWER,Adani Power Limited,ADANIPOWER.NS,NSI,INR,1.0,229.7599945,2026-06-24T15:00:44,2026-08-13T03:50:47
ADOR,Ador Welding Limited,ADOR.NS,NSI,INR,1.0,1226.599976,2026-06-24T14:47:17,2026-08-13T03:50:47
AEGISLOG,Aegis Logistics Limited,AEGISLOG.NS,NSI,INR,1.0,1186.5,2026-07-01T04:01:11,2026-08-13T03:50:47
AEROFLEX,Aeroflex Industries Limited,AEROFLEX.NS,NSI,INR,1.0,479.6499939,2026-06-24T14:47:17,2026-08-13T03:50:47
AETHER,Aether Industries Limited,AETHER.NS,NSI,INR,1.0,1357.199951,2026-06-24T14:47:17,2026-08-13T03:50:47
AIAENG,AIA Engineering Limited,AIAENG.NS,NSI,INR,1.0,4857.5,2026-06-24T15:00:44,2026-08-13T03:50:47
AJANTPHARM,Ajanta Pharma Limited,AJANTPHARM.NS,NSI,INR,1.0,3255.699951,2026-06-24T14:58:50,2026-08-13T03:50:47
ALIVUS,Alivus Life Sciences Limited,ALIVUS.NS,NSI,INR,1.0,1116.099976,2026-06-24T14:58:50,2026-08-13T03:50:47
ALKEM,Alkem Laboratories Limited,ALKEM.NS,NSI,INR,1.0,,2026-08-17T03:35:56,2026-08-17T03:35:56
ALKYLAMINE,Alkyl Amines Chemicals Limited,ALKYLAMINE.NS,NSI,INR,1.0,1947.400024,2026-08-13T03:29:35,2026-08-13T03:50:47
ALPHA,NIFTYAlpha50Index,ALPHA.NS,NSI,INR,1.0,51.68000031,2026-06-26T04:05:04,2026-08-13T03:50:47
ALPHAETF,MiraeAssetNifty200Alpha30ETF,ALPHAETF.NS,NSI,INR,1.0,26.25,2026-06-26T04:05:04,2026-08-13T03:50:47
ALPL30IETF,NiftyAlphaLow-Volatility30Index,ALPL30IETF.NS,NSI,INR,1.0,27.27000046,2026-06-26T04:05:04,2026-08-13T03:50:47
ANTELOPUS,Selan Exploration Technology Limited,ANTELOPUS.NS,NSI,INR,1.0,807.25,2026-06-24T14:59:50,2026-08-13T03:50:47
AONEGOLD,Domestic price of Gold,AONEGOLD.NS,NSI,INR,1.0,13.06000042,2026-06-26T04:05:04,2026-08-13T03:50:47
AONELIQUID,Nifty 1D Rate Index,AONELIQUID.NS,NSI,INR,1.0,1065.150024,2026-06-26T04:05:04,2026-08-13T03:50:47
AONENIFTY,Nifty 50 Index,AONENIFTY.NS,NSI,INR,1.0,9.890000343,2026-06-26T04:05:04,2026-08-13T03:50:47
AONESILVER,Domestic price of Silver,AONESILVER.NS,NSI,INR,1.0,8.289999962,2026-06-26T04:05:04,2026-08-13T03:50:47
AONETMMQ50,Nifty Total Market Momentum Quality 50 TRI,AONETMMQ50.NS,NSI,INR,1.0,10.21000004,2026-06-26T04:05:04,2026-08-13T03:50:47
AONETOTAL,Nifty Total Market Index,AONETOTAL.NS,NSI,INR,1.0,11.76000023,2026-06-26T04:05:04,2026-08-13T03:50:47
APARINDS,Apar Industries Limited,APARINDS.NS,NSI,INR,1.0,16665.0,2026-06-24T15:00:44,2026-08-13T03:50:47
APLLTD,Alembic Pharmaceuticals Limited,APLLTD.NS,NSI,INR,1.0,829.0,2026-08-05T04:23:11,2026-08-13T03:50:47
APOLLO,Apollo Micro Systems Limited,APOLLO.NS,NSI,INR,1.0,395.0,2026-06-24T14:47:17,2026-08-13T03:50:47
APOLLOHOSP,Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS,NSI,INR,1.0,8573.5,2026-06-24T14:47:17,2026-08-13T03:50:47
APOLLOTYRE,Apollo Tyres Limited,APOLLOTYRE.NS,NSI,INR,1.0,443.7999878,2026-08-12T04:37:46,2026-08-13T03:50:47
APTUS,Aptus Value Housing Finance India Limited,APTUS.NS,NSI,INR,1.0,264.2999878,2026-08-06T03:40:02,2026-08-13T03:50:47
ARVIND,Arvind Limited,ARVIND.NS,NSI,INR,1.0,556.0999756,2026-06-24T14:58:50,2026-08-13T03:50:47
ASHAPURMIN,Ashapura Minechem Limited,ASHAPURMIN.NS,NSI,INR,1.0,692.3499756,2026-06-24T15:00:44,2026-08-13T03:50:47
ASHIANA,Ashiana Housing Limited,ASHIANA.NS,NSI,INR,1.0,382.3500061,2026-06-24T14:47:17,2026-08-13T03:50:47
ASKAUTOLTD,ASK Automotive Limited,ASKAUTOLTD.NS,NSI,INR,1.0,514.4000244,2026-07-29T03:27:06,2026-08-13T03:50:47
ASTERDM,Aster DM Healthcare Limited,ASTERDM.NS,NSI,INR,1.0,783.99,2026-06-24T14:47:17,2026-08-13T03:50:47
ATUL,Atul Limited,ATUL.NS,NSI,INR,1.0,6612.5,2026-06-24T14:58:50,2026-08-13T03:50:47
AUBANK,AU Small Finance Bank Limited,AUBANK.NS,NSI,INR,1.0,1067.199951,2026-06-24T15:00:44,2026-08-13T03:50:47
AUROPHARMA,Aurobindo Pharma Limited,AUROPHARMA.NS,NSI,INR,1.0,1530.599976,2026-06-24T14:47:17,2026-08-13T03:50:47
AUTOBEES,Nippon India ETF Auto BeES,AUTOBEES.NS,NSI,INR,1.0,271.8200073,2026-06-26T04:05:04,2026-08-13T03:50:47
AUTOIETF,NiftyAutoIndex,AUTOIETF.NS,NSI,INR,1.0,27.18000031,2026-06-26T04:05:04,2026-08-13T03:50:47
AVALON,Avalon Technologies Limited,AVALON.NS,NSI,INR,1.0,1748.300049,2026-06-24T14:47:17,2026-08-13T03:50:47
AVANTIFEED,Avanti Feeds Limited,AVANTIFEED.NS,NSI,INR,1.0,978.2999878,2026-06-24T14:59:50,2026-08-13T03:50:47
AWHCL,Antony Waste Handling Cell Limited,AWHCL.NS,NSI,INR,1.0,476.1499939,2026-06-24T15:00:44,2026-08-13T03:50:47
AXISBANK,Axis Bank Limited,AXISBANK.NS,NSI,INR,1.0,1384.5,2026-06-24T14:59:50,2026-08-13T03:50:47
